row_id,fiscal_year,window,schedule_i_row,recipient,ein,city,state,amount,purpose,tier,canonical_name,overlaps_known_portfolios
VG001,FY2023,2022-07-01..2023-06-30,17,1DAY SOONER INC,851103820,CLAYMONT,DE,250000,FOR RECIPIENT'S EXEMPT PURPOSE,A-EA infrastructure,1Day Sooner,Tallinn ledger; Coefficient/OpenPhil index
VG002,FY2023,2022-07-01..2023-06-30,408,ALIGNMENT RESEARCH CENTER,863605182,COVINA,CA,201000,FOR RECIPIENT'S EXEMPT PURPOSE,A-AI safety,Alignment Research Center,Tallinn ledger; Coefficient/OpenPhil index; SFF-2024
VG003,FY2023,2022-07-01..2023-06-30,926,ANIMAL CHARITY EVALUATORS,364684978,COVINA,CA,385353,FOR RECIPIENT'S EXEMPT PURPOSE,C-EA animal,Animal Charity Evaluators,Coefficient/OpenPhil index
VG004,FY2023,2022-07-01..2023-06-30,3069,CENTER FOR APPLIED RATIONALITY,453100226,BERKELEY,CA,10000,FOR RECIPIENT'S EXEMPT PURPOSE,A-AI safety,Center for Applied Rationality,Tallinn ledger; Coefficient/OpenPhil index; SFF-2023-H2
VG005,FY2023,2022-07-01..2023-06-30,3094,CENTER FOR ELECTION SCIENCE,452334002,COVINA,CA,106000,FOR RECIPIENT'S EXEMPT PURPOSE,A-EA infrastructure,Center for Election Science,Tallinn ledger; Coefficient/OpenPhil index; SFF-2023-H2
VG006,FY2023,2022-07-01..2023-06-30,4538,COMPASSION IN WORLD FARMING,461822635,NEW YORK,NY,5500,FOR RECIPIENT'S EXEMPT PURPOSE,C-EA animal,Compassion in World Farming,Coefficient/OpenPhil index
VG007,FY2023,2022-07-01..2023-06-30,5775,EFFECTIVE ALTRUISM FOUNDATION INC,821136248,BERKELEY,CA,7000,FOR RECIPIENT'S EXEMPT PURPOSE,A-EA infrastructure,Effective Altruism Foundation,Tallinn ledger; Coefficient/OpenPhil index
VG008,FY2023,2022-07-01..2023-06-30,5776,EFFECTIVE VENTURES FOUNDATION USA,471988398,SAN FRANCISCO,CA,2203812,FOR RECIPIENT'S EXEMPT PURPOSE,A-EA infrastructure,Effective Ventures Foundation USA,Tallinn ledger; Coefficient/OpenPhil index; SFF-2023-H2; SFF-2024; SFF-2025
VG009,FY2023,2022-07-01..2023-06-30,6123,EVIDENCE ACTION INC,900874591,WASHINGTON,DC,2956462,FOR RECIPIENT'S EXEMPT PURPOSE,B-EA global health,Evidence Action,Coefficient/OpenPhil index
VG010,FY2023,2022-07-01..2023-06-30,6286,FAR AI INC,920692207,SAN DIEGO,CA,200000,FOR RECIPIENT'S EXEMPT PURPOSE,A-AI safety,FAR AI,Tallinn ledger; Coefficient/OpenPhil index; SFF-2023-H2; SFF-2024; SFF-2025
VG011,FY2023,2022-07-01..2023-06-30,6321,FAUNALYTICS,010686889,SAN DIEGO,CA,57250,FOR RECIPIENT'S EXEMPT PURPOSE,C-EA animal,Faunalytics,Coefficient/OpenPhil index
VG012,FY2023,2022-07-01..2023-06-30,6724,FISH WELFARE INITIATIVE,852065536,NORMAL,IL,52500,FOR RECIPIENT'S EXEMPT PURPOSE,C-EA animal,Fish Welfare Initiative,Coefficient/OpenPhil index
VG013,FY2023,2022-07-01..2023-06-30,6981,FOUNDERS PLEDGE INC,371795297,NEW YORK,NY,161000,FOR RECIPIENT'S EXEMPT PURPOSE,A-EA infrastructure,Founders Pledge Inc,Tallinn ledger; Coefficient/OpenPhil index; SFF-2023-H2; SFF-2024; SFF-2025
