row,recipient,recipient_line2,ein,city,state,irc_section,cash_amount,noncash_amount,purpose
1,1 FOR THE PLANET INC,,912151932,BURLINGTON,VT,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
2,1 GRAIN TO 1000 GRAINS,,463802710,MENLO PARK,CA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
3,1000 FRIENDS OF FLORIDA INC,,592761163,TALLAHASSEE,FL,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
4,10000 DEGREES,,953667812,SAN RAFAEL,CA,501(C)3,38570,,FOR RECIPIENT'S EXEMPT PURPOSE
5,101 INC,,237057664,PRINCETON,NJ,501(C)3,17500,,FOR RECIPIENT'S EXEMPT PURPOSE
6,122 EAST 66TH STREET FOUNDATION INC,,272624336,NEW YORK,NY,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
7,12STONE CHURCH INC,,581744164,LAWRENCEVILLE,GA,501(C)3,23500,,FOR RECIPIENT'S EXEMPT PURPOSE
8,12TH ARMORED DIVISION MEMORIAL MUSEUM FOUNDATION I,,311681387,ABILENE,TX,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
9,147 MILLION ORPHANS FOUNDATION INC,,275038533,BRENTWOOD,TN,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
10,1616 LATIMER FUND,,852592534,PHILADELPHIA,PA,501(C)3,41000,,FOR RECIPIENT'S EXEMPT PURPOSE
11,1789 ALLIANCE,,815232031,AUSTIN,TX,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
12,18 CORP,,223764133,LIVINGSTON,NJ,501(C)3,14354,,FOR RECIPIENT'S EXEMPT PURPOSE
13,1812 PRODUCTIONS INC,,232938464,PHILADELPHIA,PA,501(C)3,36000,,FOR RECIPIENT'S EXEMPT PURPOSE
14,1888 MESSAGE STUDY COMMITTEE,,020417308,BERRIEN SPRINGS,MI,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
15,1960 COMMUNITY HOPE CENTER,,474381517,HOUSTON,TX,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
16,19TH NEWS,,842627202,AUSTIN,TX,501(C)3,24000,,FOR RECIPIENT'S EXEMPT PURPOSE
17,1DAY SOONER INC,,851103820,CLAYMONT,DE,501(C)3,250000,,FOR RECIPIENT'S EXEMPT PURPOSE
